event_type,timestamp,trade_date,signal,status,skip_reason,trade_id,option_symbol,strike,option_type,entry_price,exit_price,quantity,capital_used,stop_loss_price,target_price,gross_pnl,charges,net_pnl,slippage_pct,message
signal,2026-04-23T14:10:10.007586+05:30,2026-04-23,,NO_SIGNAL,,,,,,,,,,,,,,,,No fresh signal
signal,2026-04-23T14:15:10.005871+05:30,2026-04-23,,NO_SIGNAL,,,,,,,,,,,,,,,,,No fresh signal
entry,2026-04-23T14:20:57.425815+05:30,2026-04-23,SELL,OPEN,,2026-04-23T08:45:00+00:00::SELL::2026-04-23T14:20:57.425815+05:30,NIFTY26APR24200PE,24200,PE,188.66,,,455,85840.3,177.3,199.98,,,,0.3,Paper trade entry created.
exit,2026-04-23T14:33:23.941419+05:30,2026-04-23,SELL,WIN,,2026-04-23T08:45:00+00:00::SELL::2026-04-23T14:20:57.425815+05:30,NIFTY26APR24200PE,24200,PE,188.66,,200.4,455,85840.3,177.3,199.98,5341.7,160.69,5181.01,0.3,Paper trade closed by TARGET.
signal,2026-04-23T14:35:10.010893+05:30,2026-04-23,,NO_SIGNAL,,,,,,,,,,,,,,,,,No fresh signal
signal,2026-04-23T14:40:10.011450+05:30,2026-04-23,,NO_SIGNAL,,,,,,,,,,,,,,,,,No fresh signal
signal,2026-04-23T14:45:10.011329+05:30,2026-04-23,,NO_SIGNAL,,,,,,,,,,,,,,,,,No fresh signal
signal,2026-04-23T14:50:10.011355+05:30,2026-04-23,,NO_SIGNAL,,,,,,,,,,,,,,,,,No fresh signal
signal,2026-04-23T14:55:10.011031+05:30,2026-04-23,,NO_SIGNAL,,,,,,,,,,,,,,,,,No fresh signal
signal,2026-04-23T15:00:10.006486+05:30,2026-04-23,,NO_SIGNAL,,,,,,,,,,,,,,,,,No fresh signal
